alpha,nominal,cov_two,cov_two_sd,cov_one,cov_one_sd,withheld_two,width_two,width_one,mean_cert_two,mean_cert_one,n_seeds
0.02,0.98,,,0.9215668352974854,0.10507792361764613,1.0,,135.22669897637113,0.0,71.18438759308525,30
0.05,0.95,1.0,0.0,0.8651555103885162,0.13107496363117843,0.9985507246376811,100.38010423552049,111.58682119818427,4.941522310309864,77.64959110356214,30
0.1,0.9,0.8148148148148149,0.3480545579483797,0.7759606385414952,0.12785872129169565,0.9833011272141707,90.68794297429285,92.49043971415846,21.73858283682049,81.3161827871405,30
0.2,0.8,0.6829573934837093,0.2819195342791942,0.6170473622455442,0.11393367525099263,0.92,70.2818804771302,69.22734133049978,47.711695658693586,84.990456390564,30
0.3,0.7,0.6486448646306218,0.21752989646162516,0.5424488405205456,0.11551799027292348,0.8019162640901771,53.324005087836674,51.94208132899094,82.52176971851159,92.48103930335763,30
