metric,pair,margin,n,mean_diff,p_tost,equivalent
CO2_t_per_yr,P-B5,3.448708492852696,30,0.09091255649801346,2.2926699105979857e-14,True
cost_per_yr,P-B5,1340.9275931672266,30,-970.6278599295076,0.02481480472417641,True
comfort_viol_h,P-B5,9.47261904761905,30,-104.57539682539682,0.9999999999987889,False
bat_cycles,P-B5,24.691882048578606,30,2.4602376632984337,1.683050170535562e-17,True
