controller,CO2_t_per_yr,cost_per_yr,RE_selfcons_pct,peak_kW,comfort_viol_h,EV_shortfall_kWh,bat_cycles,deg_cost_yr,n_requests,n_committed,abstain_rate_pct,delivery_ratio,coverage,false_activation_pct,missed_opp_pct,net_service_benefit,requested_MWh,accepted_MWh,delivered_MWh,acceptance_rate_pct,abstention_rate_pct,cond_delivery_rate_pct,uncond_service_rate_pct,delivered_frac_of_requested,delivered_frac_of_accepted,shortfall_MWh,overdelivery_MWh,service_revenue_yr,service_penalty_yr,seed
B6r0.00,290.0583689321646,124752.44417530468,98.59323982781665,538.9056363251499,52.14285714285714,11159.409581311538,498.22632392250017,29292.88605200449,91,91,0.0,1.4689512351882692,0.5934065934065934,40.65934065934066,0.0,1192.6349907285473,6.4147805690377915,6.4147805690377915,5.599788828386892,100.0,0.0,59.34065934065934,59.34065934065934,0.8729509557061672,0.8729509557061672,0.8149917406509004,3.5838830262052137,4379.834833631176,3187.199842902628,20260001
B6r0.05,291.6225863133708,125272.24632536976,96.54603131086562,526.2556294539778,78.21428571428571,13320.157055013626,507.79637316144067,29606.219811116825,91,91,0.0,1.5493248076664163,0.7692307692307693,23.076923076923077,0.0,2040.2176467957518,6.4147805690377915,6.4147805690377915,5.7804000488578335,100.0,0.0,76.92307692307693,76.92307692307693,0.9011064348417588,0.9011064348417588,0.6343805201799587,3.93019679199754,4521.098609642376,2480.8809628466242,20260001
B6r0.10,293.3838608710665,125496.90351011902,94.07639120620757,513.6055832581233,78.21428571428571,16737.70211144339,511.5329264987398,29603.400910193857,91,91,0.0,1.6330019045226014,0.8021978021978022,19.78021978021978,0.0,2332.7518461665923,6.4147805690377915,6.4147805690377915,5.842736103518286,100.0,0.0,80.21978021978022,80.21978021978022,0.9108240010140656,0.9108240010140656,0.5720444655195057,4.404498604689715,4569.854309537516,2237.102463370924,20260001
B6r0.20,295.16205399910154,125105.82073329067,90.16530941542001,488.30559221402416,112.97619047619047,25873.949273847484,532.2897399991875,29198.350903793762,91,91,0.0,1.8004712059615509,0.8241758241758241,17.582417582417584,0.0,2760.632525042884,6.4147805690377915,6.4147805690377915,5.93391311271567,100.0,0.0,82.41758241758241,82.41758241758241,0.9250375829466211,0.9250375829466211,0.48086745632212247,5.447093378460869,4641.167756016898,1880.5352309740144,20260001
B6r0.30,295.11814472717646,124300.46344451551,87.06164813373462,500.0463865346472,156.42857142857142,36832.3619289782,552.501625235209,28747.07958646602,91,91,0.0,1.9367356531072246,0.8351648351648352,16.483516483516482,0.0,2814.052590441661,6.4147805690377915,6.4147805690377915,5.945296383881316,100.0,0.0,83.51648351648352,83.51648351648352,0.9268121208350393,0.9268121208350393,0.46948418515647744,6.37013507911924,4650.071100250028,1836.018509808367,20260001
B6r0.40,293.836850274494,122954.94466342556,84.71228985048569,483.34788158325847,225.95238095238093,47821.13930912478,581.1789391556174,28241.43838883612,91,91,0.0,2.034046058735705,0.8131868131868132,18.681318681318682,0.0,2858.1900814600017,6.4147805690377915,6.4147805690377915,5.954701633108966,100.0,0.0,81.31868131868131,81.31868131868131,0.9282783049276093,0.9282783049276093,0.46007893592882465,7.0216392914076255,4657.427348753084,1799.237267293082,20260001
Pa0.30,290.2831104175027,124620.0330031916,98.57904187741698,538.9056363251499,43.45238095238095,9500.75905219257,503.9793302368964,29386.361183442506,91,71,21.978021978021978,1.6440930328170857,0.647887323943662,35.2112676056338,19.78021978021978,1892.4464699778928,6.4147805690377915,5.221557712835631,5.377112482880487,78.02197802197803,21.978021978021978,64.7887323943662,58.24175824175825,0.8382379451659164,0.9105633604648172,0.4669985749750328,3.620801205044155,3718.7444685409673,1826.2979985630745,20260001
Pa0.20,289.6167808300579,123801.30928139226,98.564557542632,538.9056363251499,43.45238095238095,9707.961400446275,509.5984663484364,29857.21140077866,91,65,28.57142857142857,1.6508648121166105,0.676923076923077,32.30769230769231,25.274725274725274,1857.7397340105163,6.4147805690377915,5.000734397125192,5.489867774638013,71.42857142857143,28.57142857142857,67.6923076923077,59.34065934065934,0.8558153650860555,0.9124947846110858,0.4375903405231906,3.478217989760889,3569.0305299851366,1711.2907959746203,20260001
Pa0.10,289.49159898483373,123688.46300733314,98.52847089141552,538.9056363251499,43.45238095238095,9715.829107736095,508.76774223161044,29772.369173151666,91,60,34.065934065934066,1.675728020939229,0.6666666666666666,33.33333333333333,27.472527472527474,1605.9790130743816,6.4147805690377915,4.644575703537789,5.433705171658165,65.93406593406593,34.065934065934066,66.66666666666666,59.34065934065934,0.8470601781587072,0.9070144986250792,0.43187820046723646,3.384343642755092,3294.9312613301813,1688.9522482557998,20260001
Pa0.05,289.22121118626234,122868.72801665253,98.53443772211905,538.9056363251499,43.45238095238095,9526.866361355595,510.4830814020705,29824.283663270344,91,50,45.05494505494505,1.7021953093614965,0.6,40.0,34.065934065934066,1205.5536349301015,6.4147805690377915,4.020344353009866,5.290524208129919,54.94505494505495,45.05494505494505,60.0,59.34065934065934,0.8247397009440481,0.8972311398317036,0.41316620664287085,2.8408652891554347,2821.328621622757,1615.7749866926556,20260001
Pa0.02,289.2212111869443,122868.72801643363,98.53443772212617,538.9056363251499,43.45238095238095,9526.866361462342,510.48308141482255,29824.28366380007,91,50,45.05494505494505,1.704381917685952,0.6,40.0,34.065934065934066,1203.1040622724913,6.4147805690377915,4.0172124792923745,5.290524208129201,54.94505494505495,45.05494505494505,60.0,59.34065934065934,0.8247397009439362,0.8971510198246596,0.41316620664287096,2.843997161879382,2818.8790489651474,1615.774986692656,20260001
