seed,alpha,nominal,cov_two,n_cert_two,width_two,frac_withheld_two,cov_one,n_cert_one,width_one,mean_cert_two,mean_cert_one
20260000,0.3,0.7,1.0,5,38.63520247435795,0.8913043478260869,0.7352941176470589,34,54.493952774336094,109.30383055187038,81.61620281136857
20260000,0.2,0.8,,0,,1.0,0.8,30,73.6317666887414,0.0,71.87455324958482
20260000,0.1,0.9,,0,,1.0,0.9565217391304348,23,97.4952651749581,0.0,67.25327593722017
20260000,0.05,0.95,,0,,1.0,1.0,13,122.16051007026863,0.0,83.5143617014043
20260000,0.02,0.98,,0,,1.0,1.0,11,138.00028746469383,0.0,81.66667974334668
20260001,0.3,0.7,,0,,1.0,0.5185185185185185,27,65.61607077131407,0.0,69.745260330314
20260001,0.2,0.8,,0,,1.0,0.6521739130434783,23,82.03002351024634,0.0,64.92620251177642
20260001,0.1,0.9,,0,,1.0,0.8421052631578947,19,98.90196980325729,0.0,60.779651406049446
20260001,0.05,0.95,,0,,1.0,0.8823529411764706,17,106.99243104748732,0.0,59.307139440418496
20260001,0.02,0.98,,0,,1.0,1.0,12,139.60196567088522,0.0,47.41647442811199
20260002,0.3,0.7,1.0,7,77.22617375100351,0.8478260869565217,0.6774193548387096,31,75.27478965654954,65.81992303355621,84.66474700120848
20260002,0.2,0.8,1.0,4,87.19947585103795,0.9130434782608696,0.7142857142857143,28,86.19139353480351,94.44755740212217,82.1606258901116
20260002,0.1,0.9,,0,,1.0,0.7857142857142857,28,91.59813710129143,0.0,76.75388232362367
20260002,0.05,0.95,,0,,1.0,0.8947368421052632,19,126.9667176419975,0.0,68.03081210833005
20260002,0.02,0.98,,0,,1.0,0.9230769230769231,13,153.41850681165238,0.0,66.04606043844385
20260003,0.3,0.7,0.75,8,41.93089227641775,0.8260869565217391,0.631578947368421,38,55.83746155695714,44.88858716083781,71.356245950236
20260003,0.2,0.8,0.75,4,55.83746155695712,0.9130434782608696,0.6451612903225806,31,80.17850443116825,40.1705672270738,59.78908507266944
20260003,0.1,0.9,,0,,1.0,0.9047619047619048,21,103.10215398888873,0.0,60.49090833924461
20260003,0.05,0.95,,0,,1.0,0.8823529411764706,17,112.30761359042248,0.0,64.17452310291368
