controller,CO2_t_per_yr,cost_per_yr,RE_selfcons_pct,peak_kW,comfort_viol_h,EV_shortfall_kWh,bat_cycles,deg_cost_yr,n_requests,n_committed,abstain_rate_pct,delivery_ratio,coverage,false_activation_pct,missed_opp_pct,net_service_benefit,requested_MWh,accepted_MWh,delivered_MWh,acceptance_rate_pct,abstention_rate_pct,cond_delivery_rate_pct,uncond_service_rate_pct,delivered_frac_of_requested,delivered_frac_of_accepted,shortfall_MWh,overdelivery_MWh,service_revenue_yr,service_penalty_yr,seed,variant
B5,281.04834265036965,112425.72977993917,98.81468666452962,508.4578905082175,17.38095238095238,6793.071079173649,447.54725931149227,24782.71337759293,92,92,0.0,1.8836399515418525,0.7934782608695652,20.652173913043477,0.0,3207.8326415375327,6.285530988524038,6.285530988524038,5.921498913290969,100.0,0.0,79.34782608695652,79.34782608695652,0.9420841173326947,0.9420841173326947,0.36403207523307113,5.637921048675845,4631.458078609721,1423.6254370721888,20260000,carbon_x0.5
P,280.6609707804743,110336.36132644281,98.73507120853199,508.4578905082175,0.0,5706.707296780412,460.2123630217773,24603.688142866835,92,64,30.434782608695656,2.21279594109344,0.875,12.5,25.0,3222.5193222272064,6.285530988524038,4.665681747162122,5.427571293829798,69.56521739130434,30.434782608695656,87.5,67.3913043478261,0.8635024318135284,0.9805113968937261,0.09092761979062909,5.526354346177351,3578.1112639084167,355.5919416812102,20260000,carbon_x0.5
B5,291.2313886545874,120296.66928754769,98.97409498544913,538.905635309852,26.07142857142857,10158.98017213271,450.1669026661013,26019.770055598023,91,91,0.0,1.4444468273408542,0.5824175824175825,41.75824175824176,0.0,733.6522653942237,6.4147805690377915,6.4147805690377915,5.501984290263901,100.0,0.0,58.24175824175825,58.24175824175825,0.8577042084370458,0.8577042084370458,0.9127962787738919,3.4929791230653398,4303.337712742122,3569.6854473478984,20260001,carbon_x0.5
P,290.766621350423,119072.44113206063,98.90506810090825,538.905635309852,17.38095238095238,8561.337458081685,458.1063209181913,26257.889236314048,91,57,37.362637362637365,1.6621901360093327,0.6491228070175439,35.08771929824561,29.67032967032967,1355.6897494357129,6.4147805690377915,4.4944251949545695,5.296771583980276,62.637362637362635,37.362637362637365,64.91228070175438,56.043956043956044,0.8257136042261823,0.8976093303579235,0.46018720536761876,3.2869939151344933,3155.3504275697933,1799.6606781340804,20260001,carbon_x0.5
B5,288.07093000642203,114706.31457465925,98.59593750968926,535.5316939204794,156.42857142857142,14229.172865009232,424.70776598486077,24941.284978815216,92,92,0.0,1.5035142110384692,0.6847826086956522,31.521739130434785,0.0,2158.13642461511,7.602791429918203,7.602791429918203,6.795536388624553,100.0,0.0,68.47826086956522,68.47826086956522,0.8938212301712011,0.8938212301712011,0.8072550412936493,4.436371504639423,5315.0802468170605,3156.94382220195,20260002,carbon_x0.5
P,289.1819282136844,114126.76690200319,98.56681405795213,535.5316939204794,43.45238095238095,7225.540280836747,445.51752576011637,25838.720847740606,92,66,28.260869565217394,1.765931396327921,0.803030303030303,19.696969696969695,20.652173913043477,2200.397990482975,7.602791429918203,5.416778213457556,6.5583833199416866,71.73913043478261,28.260869565217394,80.3030303030303,68.47826086956522,0.8626283359732054,0.9198944502785208,0.4339139965083499,4.4552467767236825,3897.3116553995574,1696.9136649165825,20260002,carbon_x0.5
B5,296.7951286313128,117973.78779493616,98.10520039354503,554.2917912247286,139.04761904761904,23401.21057956897,443.59768229518613,25855.824055123674,92,92,0.0,1.5343233890068995,0.6630434782608695,33.69565217391305,0.0,1938.2862765614195,7.265414529937883,7.265414529937883,6.467541147427076,100.0,0.0,66.30434782608695,66.30434782608695,0.890181987659054,0.890181987659054,0.7978733825108055,4.324206190417275,5058.541111737605,3120.2548351761857,20260003,carbon_x0.5
P,298.75838505860156,116436.33800673415,98.11711684362993,554.2917912247286,52.14285714285714,16116.552230777022,461.9753214623976,26234.698501998995,92,60,34.78260869565217,1.741030818805526,0.7,30.0,26.08695652173913,2124.6729959902723,7.265414529937883,4.928119565829978,5.767296132503848,65.21739130434783,34.78260869565217,70.0,58.69565217391305,0.7938013872077244,0.9252032935201008,0.3686071126632335,3.8597729099218463,3566.1900972982744,1441.5171013080023,20260003,carbon_x0.5
B5,292.3989605344017,115450.03316508631,97.7927313563157,522.6118232749532,34.76190476190476,16170.13265234201,441.9461282012642,23781.282728062783,92,92,0.0,1.6772494383194927,0.7065217391304348,29.347826086956523,0.0,3187.443552858864,8.079759425163148,8.079759425163148,7.412344570284727,100.0,0.0,70.65217391304348,70.65217391304348,0.9173966921836977,0.9173966921836977,0.6674148548784227,6.168165789142376,5797.512360329839,2610.068807470974,20260004,carbon_x0.5
P,291.1756510549645,114293.0799660074,97.67437596342205,522.6118308707173,34.76190476190476,14086.616323083756,453.7306466903403,24453.838620383176,92,66,28.260869565217394,1.8462377141649022,0.7424242424242424,25.757575757575758,19.565217391304348,3286.4776693460235,8.079759425163148,6.439680673718868,7.086249213646929,71.73913043478261,28.260869565217394,74.24242424242425,65.21739130434783,0.8770371542966877,0.9420832716845674,0.372965236017919,5.8461272653684135,4745.0381459161,1458.560476570076,20260004,carbon_x0.5
