controller,CO2_t_per_yr,cost_per_yr,RE_selfcons_pct,peak_kW,comfort_viol_h,EV_shortfall_kWh,bat_cycles,deg_cost_yr,n_requests,n_committed,abstain_rate_pct,delivery_ratio,coverage,false_activation_pct,missed_opp_pct,net_service_benefit,requested_MWh,accepted_MWh,delivered_MWh,acceptance_rate_pct,abstention_rate_pct,cond_delivery_rate_pct,uncond_service_rate_pct,delivered_frac_of_requested,delivered_frac_of_accepted,shortfall_MWh,overdelivery_MWh,service_revenue_yr,service_penalty_yr,seed
B5,286.50894765865667,122566.39176389051,95.56670605272491,514.6001558622654,60.83333333333333,7961.488545526485,549.375103910974,30661.552801307556,92,92,0.0,2.004714033569581,0.8043478260869565,19.565217391304348,0.0,3349.2668501274957,6.285530988524038,6.285530988524038,5.951637100813944,100.0,0.0,80.43478260869566,80.43478260869566,0.9468789688063411,0.9468789688063411,0.33389388771009554,6.350555426281468,4655.030446708048,1305.7635965805523,20260000
P,286.59445810566007,120634.97931149504,95.51526533716036,514.6001558622654,26.07142857142857,6518.27608337117,561.8037332992516,30216.59206225092,92,70,23.913043478260864,2.301260851598713,0.8285714285714286,17.142857142857142,20.652173913043477,2986.289652193454,6.285530988524038,4.845194785206441,5.585360080980029,76.08695652173914,23.913043478260864,82.85714285714286,68.47826086956522,0.8886059254464954,0.9646692030561311,0.17118459310962203,6.272740328721963,3655.74368596144,669.4540337679861,20260000
B5,295.27648117662596,129291.21343176332,96.41569300871518,546.3259308153022,34.76190476190476,11465.495184075984,560.2458602819548,32387.65408850605,91,91,0.0,1.4388441549298903,0.5164835164835165,48.35164835164835,0.0,576.4186825953524,6.4147805690377915,6.4147805690377915,5.468479417216956,100.0,0.0,51.64835164835166,51.64835164835166,0.852481134524173,0.852481134524173,0.9463011518208354,3.4665525436474534,4277.132115608977,3700.713433013624,20260001
P,295.0881698467455,128744.73163952657,96.25206746038579,546.3259308153022,34.76190476190476,9913.566280578501,571.7067362700726,33032.71257826743,91,52,42.85714285714286,1.5800348292312547,0.5576923076923077,44.230769230769226,31.868131868131865,792.7838873234156,6.4147805690377915,4.279020689865806,5.277855488123798,57.14285714285714,42.85714285714286,55.769230769230774,57.14285714285714,0.8227647744645252,0.8728129652225655,0.5442359532953235,2.604874888928336,2921.1352046747697,2128.3513173513543,20260001
B5,291.83604108588474,123405.91530532343,96.3587141569615,535.5470822228838,173.8095238095238,16169.567368010747,567.825113343347,32043.968478761373,92,92,0.0,1.5121113858390935,0.6956521739130435,30.434782608695656,0.0,1659.0648401093629,7.602791429918203,7.602791429918203,6.6891893234330695,100.0,0.0,69.56521739130434,69.56521739130434,0.8798333329400616,0.8798333329400616,0.9136021064851327,4.549663300882499,5231.901649399435,3572.836809290073,20260002
P,293.6548225171458,123224.08036625516,96.19509856783151,535.5470822228838,52.14285714285714,8745.424737674928,589.5097214670323,32882.54791947639,92,62,32.608695652173914,1.850418273496133,0.7903225806451613,20.967741935483872,23.91304347826087,1707.0261711034252,7.602791429918203,4.989427314432814,6.442851673785728,67.3913043478261,32.608695652173914,79.03225806451613,67.3913043478261,0.8474323849569348,0.9062374656333433,0.46782135003944253,4.613583958439624,3536.5418078648163,1829.515636761391,20260002
B5,300.2434659792583,128170.92435312916,95.5429098240139,554.409727532958,130.35714285714283,24233.94182491412,562.6444181751942,32559.029566673886,92,92,0.0,1.5620430537066181,0.6956521739130435,30.434782608695656,0.0,2033.3160004366605,7.265414529937883,7.265414529937883,6.487791012484204,100.0,0.0,69.56521739130434,69.56521739130434,0.8929691465986695,0.8929691465986695,0.7776235174536765,4.51205183229123,5074.379399050145,3041.063398613485,20260003
P,302.6454994415861,126477.15737318632,95.50654743939721,554.409727532958,60.83333333333333,15271.334819516916,564.3734786749666,32414.07994353478,92,57,38.04347826086957,1.7733761972573105,0.7192982456140351,28.07017543859649,26.08695652173913,1848.8138047179414,7.265414529937883,4.54419225130857,5.828124353574657,61.95652173913043,38.04347826086957,71.9298245614035,60.86956521739131,0.802173685969228,0.9200293501470521,0.36340200739387596,3.5721344803974753,3269.9752264904205,1421.1614217724793,20260003
B5,297.8253043475129,125642.18215820225,94.4010964925355,548.2441043485771,17.38095238095238,18895.402027625274,581.1573429308102,30513.673518964464,92,92,0.0,1.5350757092212968,0.7065217391304348,29.347826086956523,0.0,2408.5201039349395,8.079759425163148,8.079759425163148,7.246363926678409,100.0,0.0,70.65217391304348,70.65217391304348,0.8968539216787497,0.8968539216787497,0.8333954984847384,5.461979553738067,5667.691785509184,3259.1716815742448,20260004
P,296.88050893456085,124270.64090332566,94.14314205046827,548.2441043485773,17.38095238095238,16815.212590675554,583.9471763254097,31045.64481428439,92,68,26.086956521739136,1.73482143343674,0.7794117647058824,22.058823529411764,21.73913043478261,2729.787673788724,8.079759425163148,6.354547960241441,6.827147792486931,73.91304347826086,26.086956521739136,77.94117647058823,61.95652173913043,0.8449691919322309,0.9248724827592988,0.4774014114399031,5.333985902392653,4596.768193526917,1866.9805197381925,20260004
B5,299.40635764030895,127299.8357895292,95.35187031141606,535.5880785740526,26.07142857142857,10247.884099311295,571.0526053526955,33865.31337471472,92,92,0.0,1.772527919867459,0.7391304347826086,26.08695652173913,0.0,1748.7359641196365,6.856879703655904,6.856879703655904,6.086704220286691,100.0,0.0,73.91304347826086,73.91304347826086,0.8876784314943463,0.8876784314943463,0.770175483369212,6.302533345358191,4760.672229438519,3011.9362653188828,20260005
P,299.6575324602923,126759.08984400351,95.20784081069257,535.5880785740527,26.07142857142857,6991.838337551267,581.6416464584806,33953.65444382831,92,68,26.086956521739136,1.967050568652771,0.8088235294117647,19.11764705882353,19.565217391304348,2552.7620643453465,6.856879703655904,5.408522341607935,5.799820767369399,73.91304347826086,26.086956521739136,80.88235294117648,68.47826086956522,0.8458396556493604,0.9339093370587601,0.35745282708937653,5.818770373333995,3950.6579417127296,1397.8958773673833,20260005
B5,291.21452201067274,125090.75181763223,95.66848103010992,541.8459928137098,121.66666666666666,14562.069389492322,582.1560474045369,31924.10327768929,91,91,0.0,1.5753875997037128,0.6703296703296703,32.967032967032964,0.0,1501.6303374247966,7.770055172825823,7.770055172825823,6.795028088830457,100.0,0.0,67.03296703296702,67.03296703296702,0.8745147798428351,0.8745147798428351,0.9750270839953671,5.470770262122428,5314.682683763821,3813.0523463390246,20260006
P,292.4686909607613,123873.70301559257,95.7593386082999,541.8459928137098,43.45238095238095,7958.310826839995,593.415203894949,32145.547176266507,91,60,34.065934065934066,1.8132523464555863,0.7,30.0,23.076923076923077,839.6967668690904,7.770055172825823,5.202430629036564,6.197457598964828,65.93406593406593,34.065934065934066,70.0,61.53846153846154,0.7976079269860485,0.8677270294075137,0.688140953604005,5.178714416527642,3530.8194247133238,2691.1226578442333,20260006
B5,299.3898965595123,124668.53068330731,94.32441940190279,565.7134450832418,147.73809523809524,21400.322113891907,550.5802356787688,31529.81476530961,92,92,0.0,1.5137907136554516,0.7282608695652174,27.173913043478258,0.0,2339.016362554702,7.599725271487137,7.599725271487137,6.831524926783662,100.0,0.0,72.82608695652173,72.82608695652173,0.898917353290963,0.898917353290963,0.7682003447034752,4.238351568616697,5343.228424877221,3004.212062322519,20260007
P,301.0644275105278,123928.56745552632,94.35135317428923,565.7134450832413,60.83333333333333,15692.384393983903,572.2992649522298,32295.51733558346,92,61,33.69565217391305,1.7624044820484541,0.819672131147541,18.0327868852459,22.82608695652174,2318.0758056398,7.599725271487137,5.519909774902813,6.207071557741864,66.30434782608695,33.69565217391305,81.9672131147541,65.21739130434783,0.8167494660668497,0.9228199979513079,0.4260266477355949,3.850420258298918,3984.1443030343585,1666.0684973945586,20260007
B5,285.70321680543515,125136.99390790326,95.60368918192918,554.9900492486074,34.76190476190476,7426.989306706745,558.1490407002259,31740.825302538462,90,90,0.0,1.804423661176246,0.7111111111111111,28.888888888888886,0.0,1808.1344468013053,6.496638871234925,6.496638871234925,5.799160737524056,100.0,0.0,71.11111111111111,71.11111111111111,0.8926401563123535,0.8926401563123535,0.69747813371087,6.007038645577319,4535.772148277743,2727.637701476438,20260008
P,284.0332683303469,122860.55374222086,95.46722644854158,554.9900492486074,8.69047619047619,7005.578857187139,560.5069606364387,32221.121319416477,90,55,38.888888888888886,1.9959654526813437,0.6909090909090909,30.909090909090907,26.666666666666668,1557.1438372981142,6.496638871234925,4.742156640133483,5.260942879220231,61.111111111111114,38.888888888888886,69.0909090909091,61.111111111111114,0.8097945696988071,0.9033039178920634,0.4585479678430447,4.979660315044985,3350.393925827164,1793.2500885290497,20260008
B5,288.2482654813552,123973.86895942132,95.66941893438994,552.7456707498891,95.59523809523809,17185.565572263014,535.9200358051463,32246.064053039325,92,92,0.0,1.565794326931712,0.5978260869565217,40.21739130434783,0.0,767.5465587801474,6.902442162506743,6.902442162506743,5.915591479759,100.0,0.0,59.78260869565217,59.78260869565217,0.8570287646728573,0.8570287646728573,0.9868506827477439,4.071829874708809,4626.837621668646,3859.2910628884983,20260009
P,287.4713964644346,123334.40235875215,95.6238493290217,552.7456647974743,78.21428571428571,15445.197192403353,540.9166150862005,32558.442214002545,92,68,26.086956521739136,1.7302622369794192,0.7058823529411765,29.411764705882355,23.91304347826087,1697.7382156176184,6.902442162506743,5.469572273804917,5.48165779772906,73.91304347826086,26.086956521739136,70.58823529411765,56.52173913043478,0.7941620760699427,0.8994757449015337,0.5498246785314641,3.91664823756177,3847.9454405888796,2150.2072249712614,20260009
