which,days,H,n_cl,n_steps,op_med_ms,op_p95_ms,env_n,env_med_ms,env_p95_ms,wall_s,per_step_ms,peak_rss_MB
B5,42,24,3,1008,12.828311499561096,14.85837510044803,0,,,13.997652053833008,13.886559577215285,172.97265625
P,42,24,3,1008,13.015568499668007,15.066583199950399,92,8.102352499918197,9.882583299713588,15.666742324829102,15.54240310002887,189.0078125
P,7,12,3,168,6.776853999781451,7.62316410045969,15,4.823573000066972,98.25753089989998,1.7900128364562988,10.654838312239875,203.0078125
P,7,24,3,168,13.013508000312868,14.541210849984054,15,7.8595410004709265,167.27139040003695,3.4245948791503906,20.384493328276136,203.0078125
P,7,48,3,168,29.663691999758157,33.570419150055386,15,13.809197000227869,411.5002681998689,7.9222798347473145,47.156427587781636,226.94140625
P,7,96,3,168,68.74805049983479,78.50942484997177,15,27.713174000382423,857.16766039977,17.16023540496826,102.14425836290631,300.48828125
P,7,24,1,168,8.699987999534642,9.775066950169276,15,5.570162999902095,74.759965299472,2.1081607341766357,12.54857579867045,322.48828125
P,7,24,3,168,12.56119099980424,14.095155600489306,15,7.880906000536925,172.92571720035934,3.987893581390381,23.737461793990363,332.61328125
P,7,24,6,168,19.572473500375054,22.17502800017428,15,11.692084999594954,330.92870159980407,5.757310390472412,34.26970470519293,332.61328125
P,7,24,12,168,34.205034500246256,38.381468749867054,15,19.008764999853156,464.4309569996024,9.357357501983643,55.69855655942644,332.61328125
