controller,metric,mean,ci_lo,ci_hi,n
B1,CO2_t_per_yr,412.2133864265834,409.54187214165387,415.09044313498333,30
B1,cost_per_yr,160044.02130091086,159295.39866037556,160755.37670714664,30
B1,peak_kW,440.2959393379857,430.3004955588464,451.983519180641,30
B1,comfort_viol_h,182.21031746031747,170.33333333333334,194.08730158730157,30
B1,EV_shortfall_kWh,402.7692912362688,240.87200420064136,716.3549470744451,30
B1,bat_cycles,0.0,0.0,0.0,30
B1,acceptance_rate_pct,100.0,100.0,100.0,30
B1,abstention_rate_pct,0.0,0.0,0.0,30
B1,cond_delivery_rate_pct,0.0,0.0,0.0,30
B1,uncond_service_rate_pct,0.0,0.0,0.0,30
B1,delivered_frac_of_requested,0.0,0.0,0.0,30
B1,delivered_frac_of_accepted,0.0,0.0,0.0,30
B1,shortfall_MWh,7.669965548741278,7.508886504092586,7.845498968520586,30
B1,overdelivery_MWh,0.0,0.0,0.0,30
B1,false_activation_pct,100.0,100.0,100.0,30
B1,net_service_benefit,-29995.04384239893,-30686.603839458356,-29336.807164169877,30
B1,requested_MWh,7.669965548741278,7.504210963223688,7.845383190458992,30
B1,accepted_MWh,7.669965548741278,7.510391662822723,7.8426568495706075,30
B1,delivered_MWh,0.0,0.0,0.0,30
B1,service_revenue_yr,0.0,0.0,0.0,30
B1,service_penalty_yr,29995.04384239893,29323.671865621942,30649.789287722582,30
B2,CO2_t_per_yr,410.97560634433955,408.40301548649757,413.8043817067483,30
B2,cost_per_yr,154251.66707726388,153537.86003270285,154882.15004714965,30
B2,peak_kW,390.8646840720731,380.0976110328634,404.3975949322346,30
B2,comfort_viol_h,182.21031746031747,170.33333333333334,194.08730158730157,30
B2,EV_shortfall_kWh,1120.9627897433738,785.8252650917229,1597.2241996779098,30
B2,bat_cycles,223.5625,223.5625,223.5625,30
B2,acceptance_rate_pct,100.0,100.0,100.0,30
B2,abstention_rate_pct,0.0,0.0,0.0,30
B2,cond_delivery_rate_pct,20.205779863083237,18.749003611149792,21.694266135362668,30
B2,uncond_service_rate_pct,20.205779863083237,18.774520591709482,21.853361403927412,30
B2,delivered_frac_of_requested,0.42202339681205986,0.4055685406323151,0.43924018680322974,30
B2,delivered_frac_of_accepted,0.42202339681205986,0.40676283372925154,0.439743807947017,30
B2,shortfall_MWh,4.434190316736706,4.260403959263465,4.574352723875426,30
B2,overdelivery_MWh,0.5520710395042104,0.49191868357304386,0.6232564801065157,30
B2,false_activation_pct,79.79422013691675,78.11088208974536,81.13280541868093,30
B2,net_service_benefit,-14810.012932206038,-15425.731373165045,-14095.081608229182,30
B2,requested_MWh,7.669965548741278,7.5015134370201455,7.848758830159292,30
B2,accepted_MWh,7.669965548741278,7.508542372357675,7.84588041293668,30
B2,delivered_MWh,3.2357752320045723,3.097855213781849,3.3793662966614537,30
B2,service_revenue_yr,2530.8384850321477,2423.2985965777634,2642.645864906116,30
B2,service_penalty_yr,17340.851417238187,16611.563702564334,17860.27121005904,30
B3,CO2_t_per_yr,391.5964246575499,389.10991929411466,394.3422060597683,30
B3,cost_per_yr,156733.26436848703,155895.95461155064,157541.8278489315,30
B3,peak_kW,514.6345173565678,500.5313557788688,527.4746093138926,30
B3,comfort_viol_h,437.4206349206348,413.71232097230626,461.1746031746031,30
B3,EV_shortfall_kWh,13346.753205107905,12509.46679784023,14443.99490417849,30
B3,bat_cycles,301.33376518553325,293.6639207597359,307.9805153179637,30
B3,acceptance_rate_pct,100.0,100.0,100.0,30
B3,abstention_rate_pct,0.0,0.0,0.0,30
B3,cond_delivery_rate_pct,32.925027820973106,31.51990473639793,34.58192029671792,30
B3,uncond_service_rate_pct,32.925027820973106,31.4870739973488,34.66645382277635,30
B3,delivered_frac_of_requested,0.48980351879154843,0.471073827686285,0.5086595760014142,30
B3,delivered_frac_of_accepted,0.48980351879154843,0.47143424442814613,0.5094784209040627,30
B3,shortfall_MWh,3.9121241518214145,3.75011742672122,4.069102109960036,30
B3,overdelivery_MWh,1.6702859223828777,1.5568310989626606,1.7834291102588244,30
B3,false_activation_pct,67.0749721790269,65.38814478074889,68.52055623225233,30
B3,net_service_benefit,-12360.031001139285,-13058.313193932325,-11643.60716623021,30
B3,requested_MWh,7.669965548741278,7.512918185843344,7.848978944615519,30
B3,accepted_MWh,7.669965548741278,7.50271233180682,7.845549224450911,30
B3,delivered_MWh,3.757841396919863,3.5966637477252417,3.94047153914947,30
B3,service_revenue_yr,2939.1688068766075,2813.2105959652417,3082.6359876345873,30
B3,service_penalty_yr,15299.199808015888,14652.827534306405,15923.152566544803,30
B4,CO2_t_per_yr,340.2832387418703,337.8391404080836,342.80135483452165,30
B4,cost_per_yr,130669.31737704534,129920.20681339764,131343.33004081983,30
B4,peak_kW,571.4422285308104,559.4808268558764,582.9439433379813,30
B4,comfort_viol_h,194.08730158730157,176.70634920634922,211.05130297611024,30
B4,EV_shortfall_kWh,7114.682535441979,6146.504931399487,8524.678682197875,30
B4,bat_cycles,462.9127356296548,456.83657984138046,469.1703434363025,30
B4,acceptance_rate_pct,100.0,100.0,100.0,30
B4,abstention_rate_pct,0.0,0.0,0.0,30
B4,cond_delivery_rate_pct,89.3350444449614,88.28147548369199,90.40813127555968,30
B4,uncond_service_rate_pct,89.3350444449614,88.24132024122434,90.35759302543109,30
B4,delivered_frac_of_requested,0.9608304144548676,0.9562695491175779,0.9650936555290862,30
B4,delivered_frac_of_accepted,0.9608304144548676,0.9564985654984356,0.9650782572016242,30
B4,shortfall_MWh,0.3006575774339193,0.26867648079841183,0.3345080847299788,30
B4,overdelivery_MWh,5.40532448953976,5.086080483145133,5.749491064246877,30
B4,false_activation_pct,10.664955555038604,9.68235661558141,11.791089619793253,30
B4,net_service_benefit,4588.065708664892,4409.5648466621815,4766.299286086818,30
B4,requested_MWh,7.669965548741278,7.506010876614378,7.842231629546983,30
B4,accepted_MWh,7.669965548741278,7.5082419164770045,7.842187824595836,30
B4,delivered_MWh,7.369307971307359,7.208522368815242,7.546209145078987,30
